month,hour,zone,alpha
1,0,A,0.14028364591775125
1,0,B,0.12433625994247262
1,0,C,0.22999417321020366
1,0,D,0.20933390563703044
1,0,E,0.2265749442107014
1,0,F,0.24845491855081825
1,0,G,0.29333333904782605
1,0,J,0.2385961136611186
1,0,K,0.12214210813467662
1,1,A,0.14189904575557996
1,1,B,0.12188713301593514
1,1,C,0.22317125933107104
1,1,D,0.22614132406675777
1,1,E,0.23585807043553716
1,1,F,0.25434103392782104
1,1,G,0.3001502781328659
1,1,J,0.25606405374907254
1,1,K,0.12293592050128359
1,2,A,0.16347469610758902
1,2,B,0.13819939364483166
1,2,C,0.23092131680248942
1,2,D,0.25518576149492644
1,2,E,0.25461869021795797
1,2,F,0.2809639208940937
1,2,G,0.3192829276830065
1,2,J,0.2827528976894745
1,2,K,0.14006237976921282
1,3,A,0.18713610288984742
1,3,B,0.16743838501942368
1,3,C,0.25165429903269076
1,3,D,0.27289805874051326
1,3,E,0.27075504189335214
1,3,F,0.30005924950121954
1,3,G,0.3360068484015128
1,3,J,0.3042068675660283
1,3,K,0.16289962764962537
1,4,A,0.19672843795966422
1,4,B,0.1809640914847552
1,4,C,0.260837880886123
1,4,D,0.28041385412673564
1,4,E,0.2781936725766076
1,4,F,0.30421222658031744
1,4,G,0.34591876775454977
1,4,J,0.31568389902011484
1,4,K,0.17387736012911925
1,5,A,0.1967685847760955
1,5,B,0.18154398432302046
1,5,C,0.2578641282176523
1,5,D,0.2799956657490421
1,5,E,0.27888550153296376
1,5,F,0.30117980672407
1,5,G,0.34249542400189475
1,5,J,0.3198493979513229
1,5,K,0.17508665963883596
1,6,A,0.1980817169487357
1,6,B,0.18201604886370096
1,6,C,0.2582976668616061
1,6,D,0.27815697023283187
1,6,E,0.2763315723604889
1,6,F,0.29484789244881193
1,6,G,0.3358822335507602
1,6,J,0.3150317802081401
1,6,K,0.17759586552419743
1,7,A,0.1966899101608478
1,7,B,0.18497713504547564
1,7,C,0.26024636388745276
1,7,D,0.2764740976977059
1,7,E,0.2740023884330859
1,7,F,0.29016665826302546
1,7,G,0.33219037881774127
1,7,J,0.31700803856427434
1,7,K,0.18081591175525935
1,8,A,0.19147470476148012
1,8,B,0.18291356386757374
1,8,C,0.26150617079734345
1,8,D,0.27165526146291535
1,8,E,0.2663116674066529
1,8,F,0.286563325003347
1,8,G,0.32646936002367116
1,8,J,0.30982363060448576
1,8,K,0.17462106595855542
1,9,A,0.1880278548907424
1,9,B,0.18150950789931736
1,9,C,0.25620590005800165
1,9,D,0.263799315388941
1,9,E,0.2595638862564
1,9,F,0.2852090622693333
1,9,G,0.32448176587116695
1,9,J,0.29694864910496976
1,9,K,0.17368830666647128
1,10,A,0.18615638121839725
